gsubind,mean_eigenvalue,median_eigenvalue,mean_var_explained,median_var_explained,mean_peers,n_obs
35203010,3.292493084416463,2.8963305645926587,0.14909272801864296,0.14863587216050622,21.70960755077379,410448
35101020,1.488345721612187,1.4762026873138425,0.14222314316462947,0.12794680351333043,11.431801397793071,186866
10101020,1.9567556661566894,1.8900917294354516,0.14063479692252004,0.12802211135242444,15.072900797145,429282
25203010,1.6726792146317746,1.5920659358231197,0.13706015805257557,0.12367998854415678,12.787129987129987,198135
20104010,2.1103246479141617,1.6443217030188717,0.13542932167469326,0.12949942319677465,15.493252291804728,289728
45101010,1.537690906751033,1.541141637503833,0.13339289537347648,0.11843576981343462,13.398438865264753,171670
45301010,1.895364246954539,1.7993580309297683,0.13078766029760622,0.12663227531078425,14.626361489184552,235404
40203010,2.762744761913541,2.6472753756846443,0.12697539663835938,0.11590316888002065,23.748918255174832,513060
20106010,2.1734517040485306,2.1936272561161747,0.12695842753379077,0.12121508229012895,17.587018429960775,223332
20103010,1.859602560895187,1.8693108441235275,0.1251118367253952,0.10615254970458496,16.953210966757595,259548
20202020,2.067593185973118,1.9092334161453326,0.12229001424736931,0.11258458628015142,18.38709469139041,247805
10102020,3.127763361584435,2.7197880879208953,0.12156268076486888,0.11029149526948044,26.302003258228407,724320
45103020,1.9215593951369139,1.8590828716688952,0.12058696278694057,0.1099473549780941,17.353250360848605,440628
25504040,1.7049610272652522,1.723423231021811,0.11958184258022359,0.10498632853848527,15.584873173666743,264259
55101010,2.92941334888385,2.7376615731510623,0.11574354729824488,0.1072286798101608,25.430966830595374,229368
25301040,2.7835902099448493,2.463968145908511,0.11342773491478739,0.10606029354752033,25.207988782282154,416484
20102010,2.2345553217128113,2.1019499024232333,0.11331581729351524,0.11033352707455005,20.72110813380586,277656
35102015,2.077383975812724,2.0100989063207955,0.1127903171761696,0.10659930611410913,19.79703922357887,514257
25504010,2.2837000100790865,2.1444301947115934,0.10936530479134304,0.1030902786236568,21.099451899712832,289728
20107010,2.0842969210719096,2.096554075256816,0.10791717196940859,0.09996508822325827,20.81631814053948,325944
45201020,1.9970121383470159,1.9488184957822927,0.10281060558799973,0.09493430008555238,20.378252543562155,410448
45203010,1.7978850728164772,1.7812685412923521,0.10070317399548451,0.09729439181634485,18.09291421283619,319908
35202010,1.90558709327049,1.796296940865476,0.09948673144968197,0.07650213831006984,24.335919125768267,923508
40101015,14.149611787504751,11.774466788364261,0.08903406511926053,0.08716518529092834,152.30697600113604,2535120
20101010,2.7564737706638622,2.548849943890499,0.08827220910552616,0.07788544806287902,32.130887591119944,482880
15101050,2.1404497112964553,2.0261364546994045,0.0844916401482381,0.08183516738260777,25.607204232233716,356124
30202030,2.290971792521952,2.2490117418045967,0.08415147517177529,0.08195005094333938,27.78868943203524,410448
40301040,2.8330938518100024,2.7227002940367404,0.07439030940334035,0.06978326117952065,39.42441600397614,482880
45301020,2.822603538187532,2.7793307286893003,0.07237152146123153,0.06882025316433484,40.05417327683729,597564
20106020,2.7180988328753495,2.686679060615791,0.06328208887798159,0.0575674928864635,44.32083403195286,500988
35101010,2.6069223552845115,2.339349046848595,0.05933631704505718,0.056217306638829116,44.71859468190855,869184
45103010,2.9069880399156776,2.7561152378333853,0.05873941779906733,0.05415096715323779,54.17881289847124,1400352
35201010,2.7841118496135198,2.1868620992121306,0.055967902562884295,0.052694615367805855,59.72894761649494,2842956
